event_slug,timestamp_ms,timestamp_iso,timestamp_est,event_type,price,size,size_change,side,best_bid,best_ask,token_id,is_winning_token,outcome,time_since_ticker_change_ms,ticker_changed_recently,old_tick_size,new_tick_size,market_resolved,error_message
btc-15min-up-or-down-20:15,1771550145318,2026-02-20 01:15:45,2026-02-19 20:15:45,market_open,,,,,,,44585911715210490231167743343835107406561876642838153093180535026944680976597,false,Up,,false,,,false,
btc-15min-up-or-down-20:15,1771550145340,2026-02-20 01:15:45,2026-02-19 20:15:45,market_open,,,,,,,99740978830042755551848664512325515681350147243175688545902842873986776600219,false,Down,,false,,,false,
eth-15min-up-or-down-20:15,1771550145665,2026-02-20 01:15:45,2026-02-19 20:15:45,market_open,,,,,,,13589027770669772786222152997808314267727877661827823758346342831495107875933,false,Up,,false,,,false,
eth-15min-up-or-down-20:15,1771550145665,2026-02-20 01:15:45,2026-02-19 20:15:45,market_open,,,,,,,105202292632204040529377848500153673782437161237829685681143140949381133614568,false,Down,,false,,,false,
sol-15min-up-or-down-20:15,1771550145898,2026-02-20 01:15:45,2026-02-19 20:15:45,market_open,,,,,,,62293366152134628973244592277855498151427211961196424856115428397431621751901,false,Up,,false,,,false,
sol-15min-up-or-down-20:15,1771550145899,2026-02-20 01:15:45,2026-02-19 20:15:45,market_open,,,,,,,82373456301975342208834299100934523782059399248441660391653460201117998577440,false,Down,,false,,,false,
btc-15min-up-or-down-20:30,1771550146287,2026-02-20 01:15:46,2026-02-19 20:15:46,market_open,,,,,,,31471320947711282394825780255825683800965402969358570952073904142413694437967,false,Up,,false,,,false,
btc-15min-up-or-down-20:30,1771550146287,2026-02-20 01:15:46,2026-02-19 20:15:46,market_open,,,,,,,75108243721546035541813826506965399829513252902158702030702626789156329853597,false,Down,,false,,,false,
eth-15min-up-or-down-20:30,1771550146392,2026-02-20 01:15:46,2026-02-19 20:15:46,market_open,,,,,,,3373555456247033570012671780025198720837917626709335654576893243744982626580,false,Up,,false,,,false,
eth-15min-up-or-down-20:30,1771550146392,2026-02-20 01:15:46,2026-02-19 20:15:46,market_open,,,,,,,72828455770601582088297766846345846976811383285932391127326212897369522240730,false,Down,,false,,,false,
sol-15min-up-or-down-20:30,1771550146481,2026-02-20 01:15:46,2026-02-19 20:15:46,market_open,,,,,,,2099797309112712126346128218709995434203815047095030835662483799503065276781,false,Up,,false,,,false,
sol-15min-up-or-down-20:30,1771550146481,2026-02-20 01:15:46,2026-02-19 20:15:46,market_open,,,,,,,41339697264326894983333582450078584690254282594691752602534259690806191906339,false,Down,,false,,,false,
btc-15min-up-or-down-20:15,1771550639719,2026-02-20 01:23:59,2026-02-19 20:23:59,error,,,,,,,,,,,,,,false,WebSocket connection closed unexpectedly: no close frame received or sent
eth-15min-up-or-down-20:15,1771550639719,2026-02-20 01:23:59,2026-02-19 20:23:59,error,,,,,,,,,,,,,,false,WebSocket connection closed unexpectedly: no close frame received or sent
sol-15min-up-or-down-20:15,1771550639719,2026-02-20 01:23:59,2026-02-19 20:23:59,error,,,,,,,,,,,,,,false,WebSocket connection closed unexpectedly: no close frame received or sent
